,created_at,location,name,s_o
50,2020-04-09 02:11:40,Gold Bridge BC V0K1P0 Canada,Bridge River Valley,0
51,2020-04-09 02:11:40,Gold Bridge BC V0K1P0 Canada,Bridge River Valley,1
52,2020-04-09 02:11:40,"Dallas, Texas.",Mrs. David Roberts. ✊🏽💙🏳️‍🌈🧙🏽‍♀️,0
53,2020-04-09 02:11:40,,denolo,1
54,2020-04-09 02:11:40,,denolo,0
55,2020-04-09 02:11:40,"Texas, USA","Clara Ford, MA",0
56,2020-04-09 02:11:40,"Edmonton, Alberta",Michele Siderson🌈,0
57,2020-04-09 02:11:40,"Edmonton, Alberta",Michele Siderson🌈,1
58,2020-04-09 02:11:40,,Gerald E Rivas,0
59,2020-04-09 02:11:40,,Gerald E Rivas,0
60,2020-04-09 02:11:40,,Gerald E Rivas,1
61,2020-04-09 02:11:40,,本の案内人,1
62,2020-04-09 02:11:40,Bengaluru of Bharath,Dr.Mahesh D M #useMask4all be6ftaway,1
63,2020-04-09 02:11:40,"California, USA",Greg Busey,0
64,2020-04-09 02:11:39,"New Jersey, USA",Charles of Trent,0
65,2020-04-09 02:11:39,"Moms, Ur",Josh Bond 007,1
66,2020-04-09 02:11:39,"Moms, Ur",Josh Bond 007,0
67,2020-04-09 02:11:39,"Moms, Ur",Josh Bond 007,1
68,2020-04-09 02:11:39,"Moms, Ur",Josh Bond 007,1
69,2020-04-09 02:11:39,,Pete,0
70,2020-04-09 02:11:39,Toronto | Ottawa,onome✨,0
71,2020-04-09 02:11:39,Toronto | Ottawa,onome✨,1
72,2020-04-09 02:11:39,,Sayed Askari Akhtar,0
73,2020-04-09 02:11:39,,Sayed Askari Akhtar,0
74,2020-04-09 02:11:39,,gloria palacios,0
75,2020-04-09 02:11:39,,gloria palacios,1
76,2020-04-09 02:11:39,,Tom Schade,1
77,2020-04-09 02:11:39,,Tom Schade,1
78,2020-04-09 02:11:39,,Tom Schade,1
79,2020-04-09 02:11:39,,Tom Schade,1
80,2020-04-09 02:11:39,Texas,USA Hipster ⭐️⭐️⭐️,0
81,2020-04-09 02:11:39,"Texas, USA",TX man #Resist #resistance #resist #scumbag,0
82,2020-04-09 02:11:39,AMERICA,LWinter,0
83,2020-04-09 02:11:39,,Joe Arredondo,0
84,2020-04-09 02:11:39,Australia,Saraa,1
85,2020-04-09 02:11:39,Australia,Saraa,1
86,2020-04-09 02:11:39,Australia,Saraa,0
87,2020-04-09 02:11:39,Australia,Saraa,1
88,2020-04-09 02:11:39,Australia,Saraa,0
89,2020-04-09 02:11:39,Australia,Saraa,1
90,2020-04-09 02:11:39,In a Green and Pleasant Land,5 Alive,0
91,2020-04-09 02:11:39,NYC,🎽NY🇺🇸Army🎽Vet❌💊🕛💥❌,1
92,2020-04-09 02:11:39,NYC,🎽NY🇺🇸Army🎽Vet❌💊🕛💥❌,1
93,2020-04-09 02:11:39,NYC,🎽NY🇺🇸Army🎽Vet❌💊🕛💥❌,1
94,2020-04-09 02:11:39,Abuja,Shamba Shinkafi,1
95,2020-04-09 02:11:39,Abuja,Shamba Shinkafi,1
96,2020-04-09 02:11:39,Abuja,Shamba Shinkafi,1
97,2020-04-09 02:11:39,Abuja,Shamba Shinkafi,1
98,2020-04-09 02:11:39,"Columbus, OH",👌🏼,0
99,2020-04-09 02:11:39,"Columbus, OH",👌🏼,1
100,2020-04-09 02:11:39,"Columbus, OH",👌🏼,1
101,2020-04-09 02:11:39,"Columbus, OH",👌🏼,1
102,2020-04-09 02:11:39,"Columbus, OH",👌🏼,1
103,2020-04-09 02:11:39,,Teresa Brown,0
104,2020-04-09 02:11:39,,AndeSue,1
105,2020-04-09 02:11:39,,AndeSue,0
106,2020-04-09 02:11:39,,AndeSue,0
107,2020-04-09 02:11:39,Smallville,#SmallStreamersConnect RT,1
108,2020-04-09 02:11:39,Smallville,#SmallStreamersConnect RT,1
109,2020-04-09 02:11:39,behind you....;) boo,jolie me,1
110,2020-04-09 02:11:39,behind you....;) boo,jolie me,1
111,2020-04-09 02:11:39,,DebH,1
112,2020-04-09 02:11:39,,DebH,1
113,2020-04-09 02:11:39,⚜ Premium Mayonnaise ⚜,Bae'd Runner,0
114,2020-04-09 02:11:39,Far Far Away,Shauna,1
115,2020-04-09 02:11:39,Far Far Away,Shauna,1
116,2020-04-09 02:11:38,NH,liveFreeorDieReport 🇺🇸🇺🇸🇺🇸,0
117,2020-04-09 02:11:38,NH,liveFreeorDieReport 🇺🇸🇺🇸🇺🇸,1
118,2020-04-09 02:11:38,NH,liveFreeorDieReport 🇺🇸🇺🇸🇺🇸,1
119,2020-04-09 02:11:38,New York,Mike,0
120,2020-04-09 02:11:38,New York,Mike,1
121,2020-04-09 02:11:38,Ireland,Terry #FBPE,1
122,2020-04-09 02:11:38,Ireland,Terry #FBPE,0
123,2020-04-09 02:11:38,somewhere making money.,khi 🖤,1
124,2020-04-09 02:11:38,"Portland, OR",PossumPete,0
125,2020-04-09 02:11:38,"Portland, OR",PossumPete,1
126,2020-04-09 02:11:38,New Earth,Veritas1776 #WWG1WGA,0
127,2020-04-09 02:11:38,"St.Thomas , U.S.V.I.",IsleSymone✨,0
128,2020-04-09 02:11:38,"St.Thomas , U.S.V.I.",IsleSymone✨,1
129,2020-04-09 02:11:38,'Merica!,⚡Light Within ⚡,1
130,2020-04-09 02:11:38,'Merica!,⚡Light Within ⚡,0
131,2020-04-09 02:11:38,,Asad Malik,0
132,2020-04-09 02:11:38,,Asad Malik,1
133,2020-04-09 02:11:38,,Asad Malik,1
134,2020-04-09 02:11:38,,Asad Malik,1
135,2020-04-09 02:11:38,"California, USA",⭐️⭐️⭐️VB🇺🇸Nationalist,1
136,2020-04-09 02:11:38,"California, USA",⭐️⭐️⭐️VB🇺🇸Nationalist,0
137,2020-04-09 02:11:38,Silicon Valley ,Denise Williams,0
138,2020-04-09 02:11:38,Midgard,Helsinki #ServeThePeople ✊,1
139,2020-04-09 02:11:38,Midgard,Helsinki #ServeThePeople ✊,0
140,2020-04-09 02:11:38,Midgard,Helsinki #ServeThePeople ✊,1
141,2020-04-09 02:11:38,Shadowbanned Conservative FedUp,ANC_wasted_$15Triln,0
142,2020-04-09 02:11:38,,daryn,1
143,2020-04-09 02:11:38,,daryn,1
144,2020-04-09 02:11:38,,daryn,1
145,2020-04-09 02:11:38,"North Carolina, USA",Let_Logic_Loose 🇺🇸,0
146,2020-04-09 02:11:38,"North Carolina, USA",Let_Logic_Loose 🇺🇸,1
147,2020-04-09 02:11:38,"North Carolina, USA",Let_Logic_Loose 🇺🇸,0
148,2020-04-09 02:11:38,,Rajmchawal2019,1
149,2020-04-09 02:11:38,,Rajmchawal2019,0
150,2020-04-09 02:11:38,,Rajmchawal2019,1
151,2020-04-09 02:11:38,"Elbow Park, Calgary",Eric Barnes,0
152,2020-04-09 02:11:38,,LanceDaddy,0
153,2020-04-09 02:11:38,,Moulay Kalel Benadan,1
154,2020-04-09 02:11:38,"Kitchener, Ontario",Zayn Jinah,0
155,2020-04-09 02:11:38,massachusetts,Two Portents in a Teacup,0
156,2020-04-09 02:11:38,,Maiya ♎🎀,1
157,2020-04-09 02:11:38,,Maiya ♎🎀,1
158,2020-04-09 02:11:38,"Gujarat, India",बलराम यादव 🙏,0
159,2020-04-09 02:11:38,"Gujarat, India",बलराम यादव 🙏,1
160,2020-04-09 02:11:38,,Hsinju,1
161,2020-04-09 02:11:38,,Hsinju,1
162,2020-04-09 02:11:38,,Hsinju,1
163,2020-04-09 02:11:38,tamilnadu,raghupathi,0
164,2020-04-09 02:11:38,tamilnadu,raghupathi,1
165,2020-04-09 02:11:38,"Pennsylvania, USA",sheepdog,1
166,2020-04-09 02:11:38,"Pennsylvania, USA",sheepdog,0
167,2020-04-09 02:11:37,,MOOSE MUFFIN,0
168,2020-04-09 02:11:37,جمهوری اسلامی ایران,seyed,0
169,2020-04-09 02:11:37,جمهوری اسلامی ایران,seyed,1
170,2020-04-09 02:11:37,Madagascar,Human D League,1
171,2020-04-09 02:11:37,United States,marlo45 🇺🇸,1
172,2020-04-09 02:11:37,United States,marlo45 🇺🇸,1
173,2020-04-09 02:11:37,United States,marlo45 🇺🇸,0
174,2020-04-09 02:11:37,United States,marlo45 🇺🇸,1
175,2020-04-09 02:11:37,,Helen J Miles,0
176,2020-04-09 02:11:37,,Helen J Miles,0
177,2020-04-09 02:11:37,,Abdul Ghayor waziri,0
178,2020-04-09 02:11:37,"Murray, KY",Jeffrey Rudy,0
179,2020-04-09 02:11:37,Hell,I bully affluent whites,1
180,2020-04-09 02:11:37,"Phoenix, Arizona",Terra Wales,0
181,2020-04-09 02:11:37,"Kentucky, USA",Lisa Sheehy,0
182,2020-04-09 02:11:37,"Dallas, TX",Heaven🍁💗....,1
183,2020-04-09 02:11:37,"Florida, USA",Stephanie,0
184,2020-04-09 02:11:37,,Lyell  Banman,0
185,2020-04-09 02:11:37,,Lyell  Banman,1
186,2020-04-09 02:11:37,,Lyell  Banman,1
187,2020-04-09 02:11:37,,Simian Opinion,0
188,2020-04-09 02:11:37,,Simian Opinion,1
189,2020-04-09 02:11:37,,Simian Opinion,1
190,2020-04-09 02:11:37,USA,✝️🇺🇸Rose ⭐️⭐️⭐️ #IStandWGenFlynn🇺🇸✝️,0
191,2020-04-09 02:11:37,USA,✝️🇺🇸Rose ⭐️⭐️⭐️ #IStandWGenFlynn🇺🇸✝️,1
192,2020-04-09 02:11:37,"Missouri, USA",Nichole Johnson#MAGA🌟🌟🌟,0
193,2020-04-09 02:11:37,"North Carolina, USA",-Nolan B(aker's 25th anniversary),1
194,2020-04-09 02:11:37,"Michigan, USA",DUN,1
195,2020-04-09 02:11:37,"Michigan, USA",DUN,1
196,2020-04-09 02:11:37,Kingdom of Saudi Arabia,مركز الأبحاث,1
197,2020-04-09 02:11:37,Kingdom of Saudi Arabia,مركز الأبحاث,1
198,2020-04-09 02:11:37,Kingdom of Saudi Arabia,مركز الأبحاث,1
199,2020-04-09 02:11:37,Kingdom of Saudi Arabia,مركز الأبحاث,1
200,2020-04-09 02:11:37,Kingdom of Saudi Arabia,مركز الأبحاث,1
201,2020-04-09 02:11:37,"Texas, USA",🍥GABE🍥,0
202,2020-04-09 02:11:37,"Texas, USA",🍥GABE🍥,1
203,2020-04-09 02:11:37,"Texas, USA",🍥GABE🍥,1
204,2020-04-09 02:11:37,"Texas, USA",🍥GABE🍥,1
205,2020-04-09 02:11:37,"Texas, USA",🍥GABE🍥,1
206,2020-04-09 02:11:37,USA,usa196057,0
207,2020-04-09 02:11:37,"San Diego, CA",Rommie Amaro,1
208,2020-04-09 02:11:37,"San Diego, CA",Rommie Amaro,1
209,2020-04-09 02:11:37,"San Diego, CA",Rommie Amaro,1
210,2020-04-09 02:11:37,"Hebbronville, TX",Johnny Trujillo,0
211,2020-04-09 02:11:37,"Dhaka, Bangladesh",Shahidul Haque,0
212,2020-04-09 02:11:37,"Dhaka, Bangladesh",Shahidul Haque,0
213,2020-04-09 02:11:37,Colombia,Michael Reed-Hurtado,0
214,2020-04-09 02:11:37,Colombia,Michael Reed-Hurtado,0
215,2020-04-09 02:11:37,Colombia,Michael Reed-Hurtado,1
216,2020-04-09 02:11:37,"台北市, 台灣",哲男,0
217,2020-04-09 02:11:37,"台北市, 台灣",哲男,1
218,2020-04-09 02:11:37,"台北市, 台灣",哲男,1
219,2020-04-09 02:11:37,"台北市, 台灣",哲男,1
220,2020-04-09 02:11:37,"台北市, 台灣",哲男,1
221,2020-04-09 02:11:37,,Blair Billings,1
222,2020-04-09 02:11:37,,Blair Billings,1
223,2020-04-09 02:11:37,,Blair Billings,1
224,2020-04-09 02:11:37,भारत,AnirudhaSingh,0
225,2020-04-09 02:11:37,भारत,AnirudhaSingh,1
226,2020-04-09 02:11:36,Virtual world,Sonu Thakur 🇮🇳,1
227,2020-04-09 02:11:36,Virtual world,Sonu Thakur 🇮🇳,0
228,2020-04-09 02:11:36,Virtual world,Sonu Thakur 🇮🇳,1
229,2020-04-09 02:11:36,,Frankie,1
230,2020-04-09 02:11:36,,Frankie,1
231,2020-04-09 02:11:36,Texas #Merica,THE PHARAOH OF PHACT⭐️⭐️⭐️,1
232,2020-04-09 02:11:36,"Odessa,Tx. ",Grace,0
233,2020-04-09 02:11:36,"Medak, Hyd, Telangana, India.",B Vinay Reddy,0
234,2020-04-09 02:11:36,"Memphis, TN",tblythe,1
235,2020-04-09 02:11:36,,MrsKRomero,0
236,2020-04-09 02:11:36,,MrsKRomero,1
237,2020-04-09 02:11:36,"Georgia, USA",M40A1 OPERATOR,0
238,2020-04-09 02:11:36,,Dan S,1
239,2020-04-09 02:11:36,India,PRASHANT KASHYAP,0
240,2020-04-09 02:11:36,India,PRASHANT KASHYAP,1
241,2020-04-09 02:11:36,"New Delhi, India",Chutkula Curfew Mein😷😷😷,1
242,2020-04-09 02:11:36,"New Delhi, India",Chutkula Curfew Mein😷😷😷,1
243,2020-04-09 02:11:36,"New Delhi, India",Chutkula Curfew Mein😷😷😷,0
244,2020-04-09 02:11:36,"New Delhi, India",Chutkula Curfew Mein😷😷😷,1
245,2020-04-09 02:11:36,Egypt,Ahmed Helmy,0
246,2020-04-09 02:11:36,Egypt,Ahmed Helmy,0
247,2020-04-09 02:11:36,Egypt,Ahmed Helmy,1
248,2020-04-09 02:11:36,Egypt,Ahmed Helmy,1
249,2020-04-09 02:11:36,,Missy B,1
250,2020-04-09 02:11:36,,Missy B,1
251,2020-04-09 02:11:36,,Missy B,0
252,2020-04-09 02:11:36,,Missy B,1
253,2020-04-09 02:11:36,,Missy B,1
254,2020-04-09 02:11:36,,Hal Belden,0
255,2020-04-09 02:11:36,,Hal Belden,1
256,2020-04-09 02:11:36,,Hal Belden,1
257,2020-04-09 02:11:36,New Delhi,Deepak Singh,0
258,2020-04-09 02:11:36,New Delhi,Deepak Singh,1
259,2020-04-09 02:11:36,New Delhi,Deepak Singh,1
260,2020-04-09 02:11:36,Virginia,Lady Rose⭐️K⭐️🇺🇸,1
261,2020-04-09 02:11:36,Your favah house,PLATINUM PUSSY INNER G 🥴💦,1
262,2020-04-09 02:11:36,Your favah house,PLATINUM PUSSY INNER G 🥴💦,1
263,2020-04-09 02:11:36,,OldIronsides2019,1
264,2020-04-09 02:11:36,,OldIronsides2019,1
265,2020-04-09 02:11:36,,OldIronsides2019,1
266,2020-04-09 02:11:36,,notesfromnanchorbaby,0
267,2020-04-09 02:11:36,,notesfromnanchorbaby,0
268,2020-04-09 02:11:36,,notesfromnanchorbaby,1
269,2020-04-09 02:11:36,,Grandma K,0
270,2020-04-09 02:11:36,,Grandma K,0
271,2020-04-09 02:11:35,Guatemala,Nancy Virginia,0
272,2020-04-09 02:11:35,Guatemala,Nancy Virginia,1
273,2020-04-09 02:11:35,,i support the prez,0
274,2020-04-09 02:11:35,,Against The Voices,1
275,2020-04-09 02:11:35,,Against The Voices,0
276,2020-04-09 02:11:35,in a #BlueWave,Phillip Palmer 🇺🇸👤🏳️‍🌈,0
277,2020-04-09 02:11:35,mitchell.natasha @ abc.net.au,Natasha Mitchell,1
278,2020-04-09 02:11:35,,ahhmay,1
279,2020-04-09 02:11:35,,ahhmay,1
280,2020-04-09 02:11:35,,Bridget Holleran,0
281,2020-04-09 02:11:35,,Bridget Holleran,0
282,2020-04-09 02:11:35,België,jan merckx,1
283,2020-04-09 02:11:35,"Gilgandra, New South Wales",Steve Nichols,0
284,2020-04-09 02:11:35,"Gilgandra, New South Wales",Steve Nichols,1
285,2020-04-09 02:11:35,"Charleston, SC",Theresa Lance 🤠👽🛸👨‍💻👩‍🔬👨‍🔬👨‍⚕️,0
286,2020-04-09 02:11:35,"Charleston, SC",Theresa Lance 🤠👽🛸👨‍💻👩‍🔬👨‍🔬👨‍⚕️,1
287,2020-04-09 02:11:35,,Kathryn Guidry,1
288,2020-04-09 02:11:35,,Kathryn Guidry,0
289,2020-04-09 02:11:35,,Ramces Caballero王,1
290,2020-04-09 02:11:35,"Oklahoma, USA",Imsooxxxited,0
291,2020-04-09 02:11:35,"Oklahoma, USA",Imsooxxxited,1
292,2020-04-09 02:11:35,"Oklahoma, USA",Imsooxxxited,1
293,2020-04-09 02:11:35,"Oklahoma, USA",Imsooxxxited,1
294,2020-04-09 02:11:35,"Oklahoma, USA",Imsooxxxited,1
295,2020-04-09 02:11:35,"Oklahoma, USA",Imsooxxxited,1
296,2020-04-09 02:11:35,Eve's Bayou,Tim Fake Nelson,0
297,2020-04-09 02:11:35,,Jackie Marino,1
298,2020-04-09 02:11:35,,Jackie Marino,1
299,2020-04-09 02:11:35,,Jackie Marino,1
300,2020-04-09 02:11:35,"San Bernardino, CA",Erick Swipe,0
301,2020-04-09 02:11:35,"San Bernardino, CA",Erick Swipe,1
302,2020-04-09 02:11:35,"Lakeland, FL",Eileen Welter,0
303,2020-04-09 02:11:35,"Lakeland, FL",Eileen Welter,1
304,2020-04-09 02:11:35,"Lakeland, FL",Eileen Welter,1
305,2020-04-09 02:11:35,San Francisco Bay Area,SC,0
306,2020-04-09 02:11:35,San Francisco Bay Area,SC,1
307,2020-04-09 02:11:35,"Ontario, Canada",Ash,1
308,2020-04-09 02:11:35,"Ontario, Canada",Ash,1
309,2020-04-09 02:11:35,"Ontario, Canada",Ash,1
310,2020-04-09 02:11:35,"Ontario, Canada",Ash,1
311,2020-04-09 02:11:35,"Stafford, CT",Luke Hoss,1
312,2020-04-09 02:11:35,"Stafford, CT",Luke Hoss,0
313,2020-04-09 02:11:35,,WS Y😷,1
314,2020-04-09 02:11:35,,WS Y😷,0
315,2020-04-09 02:11:35,,WS Y😷,1
316,2020-04-09 02:11:35,,WS Y😷,1
317,2020-04-09 02:11:35,,Diana,0
318,2020-04-09 02:11:35,,fowlkesl,1
319,2020-04-09 02:11:34,,Concerned Chowkidar,1
320,2020-04-09 02:11:34,,Concerned Chowkidar,1
321,2020-04-09 02:11:34,,Concerned Chowkidar,0
322,2020-04-09 02:11:34,,Concerned Chowkidar,1
323,2020-04-09 02:11:34,"Zapopan, Jalisco",Lih,0
324,2020-04-09 02:11:34,"Zapopan, Jalisco",Lih,1
325,2020-04-09 02:11:34,,BetaKam,0
326,2020-04-09 02:11:34,,Mia,1
327,2020-04-09 02:11:34,,Mia,1
328,2020-04-09 02:11:34,"Nashville, TN",Nunya,0
329,2020-04-09 02:11:34,The Fort,HadEnoughAlready,1
330,2020-04-09 02:11:34,The Fort,HadEnoughAlready,1
331,2020-04-09 02:11:34,United States,Tracie 🇺🇸❤️🤓,1
332,2020-04-09 02:11:34,United States,Tracie 🇺🇸❤️🤓,0
333,2020-04-09 02:11:34,,Lisa. ✝️🇺🇸,1
334,2020-04-09 02:11:34,,Lisa. ✝️🇺🇸,0
335,2020-04-09 02:11:34,,Lisa. ✝️🇺🇸,0
336,2020-04-09 02:11:34,United States,grim_teacher,1
337,2020-04-09 02:11:34,United States,grim_teacher,0
338,2020-04-09 02:11:34,United States,grim_teacher,1
339,2020-04-09 02:11:34,United States,grim_teacher,1
340,2020-04-09 02:11:34,,Global Biosecurity,0
341,2020-04-09 02:11:34,"Toronto, Ontario",Mumin Al Shawaf (I am Hiring),1
342,2020-04-09 02:11:34,"Toronto, Ontario",Mumin Al Shawaf (I am Hiring),1
343,2020-04-09 02:11:34,"Toronto, Ontario",Mumin Al Shawaf (I am Hiring),1
344,2020-04-09 02:11:34,"Charlotte, NC",CLTure ( culture ),0
345,2020-04-09 02:11:34,"Charlotte, NC",CLTure ( culture ),0
346,2020-04-09 02:11:34,Fiji ,Mary Rokonadravu,0
347,2020-04-09 02:11:34,Fiji ,Mary Rokonadravu,1
348,2020-04-09 02:11:34,"Toronto, Ontario",Soumia Allalou,0
349,2020-04-09 02:11:34,"Toronto, Ontario",Soumia Allalou,1
350,2020-04-09 02:11:34,"Toronto, Ontario",Soumia Allalou,0
351,2020-04-09 02:11:34,,Stay@home,1
352,2020-04-09 02:11:34,,Stay@home,1
353,2020-04-09 02:11:34,"Solana Beach, CA",Jan Fretwell,0
354,2020-04-09 02:11:34,"Rochester, NY",patrick brophy,0
355,2020-04-09 02:11:34,205,gem 🥺♊️🇲🇽,1
356,2020-04-09 02:11:34,205,gem 🥺♊️🇲🇽,1
357,2020-04-09 02:11:34,"Winnipeg, Manitoba",Tom Peterson,1
358,2020-04-09 02:11:34,USA,Sofiane S.,0
359,2020-04-09 02:11:34,,Charlestonweather (Ben),1
360,2020-04-09 02:11:34,,Charlestonweather (Ben),1
361,2020-04-09 02:11:34," Clarkesdale, Mississippi",Nick B. Herschel,1
362,2020-04-09 02:11:34," Clarkesdale, Mississippi",Nick B. Herschel,0
363,2020-04-09 02:11:34,Toronto,WildCanadian,1
364,2020-04-09 02:11:34,Toronto,WildCanadian,1
365,2020-04-09 02:11:34,Toronto,WildCanadian,1
366,2020-04-09 02:11:34,"Cutler Bay, FL",Kirsten Miller,0
367,2020-04-09 02:11:34,"Cutler Bay, FL",Kirsten Miller,1
368,2020-04-09 02:11:34,"Cutler Bay, FL",Kirsten Miller,1
369,2020-04-09 02:11:34,"Cutler Bay, FL",Kirsten Miller,1
370,2020-04-09 02:11:34,honeymoon avenue,januARII 25th 🇭🇹,1
371,2020-04-09 02:11:34,honeymoon avenue,januARII 25th 🇭🇹,1
372,2020-04-09 02:11:34,Texas,El Jefe de Jefes,1
373,2020-04-09 02:11:34,Texas,El Jefe de Jefes,0
374,2020-04-09 02:11:34,,Ani,1
375,2020-04-09 02:11:34,,Ani,0
376,2020-04-09 02:11:34,,Ani,1
377,2020-04-09 02:11:34,"UC, Santa Cruz",UCSC AARCC,0
378,2020-04-09 02:11:34,"UC, Santa Cruz",UCSC AARCC,1
379,2020-04-09 02:11:34,"San Mateo, CA",Anthony Remedios,1
380,2020-04-09 02:11:34,"San Mateo, CA",Anthony Remedios,1
381,2020-04-09 02:11:34,"Texas, USA",Miss DeVine,1
382,2020-04-09 02:11:34,"Texas, USA",Miss DeVine,0
383,2020-04-09 02:11:34,,Things & Stuff.,0
384,2020-04-09 02:11:34,"Allahabad, India",KULDEEP KUMAR MISHRA,0
385,2020-04-09 02:11:34,"Allahabad, India",KULDEEP KUMAR MISHRA,1
386,2020-04-09 02:11:34,Republic of the Philippines,Ninang ni LIE -(LIO),1
387,2020-04-09 02:11:33,,Kris⛳️🏌🏼‍♀️🇺🇸,1
388,2020-04-09 02:11:33,,Kris⛳️🏌🏼‍♀️🇺🇸,0
389,2020-04-09 02:11:33,,🦋 J-N-R-A,0
390,2020-04-09 02:11:33,,BK,1
391,2020-04-09 02:11:33,,BK,1
392,2020-04-09 02:11:33,"Missouri, USA",Bigot Hater,1
393,2020-04-09 02:11:33,"Missouri, USA",Bigot Hater,1
394,2020-04-09 02:11:33,"Missouri, USA",Bigot Hater,1
395,2020-04-09 02:11:33,"Missouri, USA",Bigot Hater,0
396,2020-04-09 02:11:33,"Missouri, USA",Bigot Hater,1
397,2020-04-09 02:11:33,"Missouri, USA",Bigot Hater,1
398,2020-04-09 02:11:33,"Buenos Aires, Argentina",✨victoria,1
399,2020-04-09 02:11:33,,manoj misra,1
400,2020-04-09 02:11:33,,Bpierc,0
401,2020-04-09 02:11:33,,Susan Melnik,1
402,2020-04-09 02:11:33,,Susan Melnik,1
403,2020-04-09 02:11:33,"Boston,MA",Jack of Shadows 🌹,0
404,2020-04-09 02:11:33,Lagos ,Ajibola Ajayi O.,1
405,2020-04-09 02:11:33,"Pune, India",MUKUND POTDAR,0
406,2020-04-09 02:11:33,"Pune, India",MUKUND POTDAR,1
407,2020-04-09 02:11:33,"Subang Jaya, Malaysia",Era Adnan,0
408,2020-04-09 02:11:33,,⚡🌟ℕ𝕒𝕘𝕠𝕠𝕣 𝔾𝕒𝕟𝕚🌟⚡❤️🏀🏀🏀❤️,0
409,2020-04-09 02:11:33,,⚡🌟ℕ𝕒𝕘𝕠𝕠𝕣 𝔾𝕒𝕟𝕚🌟⚡❤️🏀🏀🏀❤️,1
410,2020-04-09 02:11:33,"Little Rock, Ark.",KATV News,0
411,2020-04-09 02:11:33,"Little Rock, Ark.",KATV News,0
412,2020-04-09 02:11:33,"Andhra Pradesh, India",AP Fights corona,0
413,2020-04-09 02:11:33,"Andhra Pradesh, India",AP Fights corona,1
